trigE,trigM,lep_n,jet_n,met_et,met_phi,lep_pt_0,lep_pt_1,lep_eta_0,lep_eta_1,lep_E_0,lep_E_1,lep_phi_0,lep_phi_1,lep_charge_0,lep_charge_1,lep_type_0,lep_type_1,lep_ptcone30_0,lep_ptcone30_1,lep_etcone20_0,lep_etcone20_1,lep_isTightID_0,lep_isTightID_1,jet_pt,jet_eta,jet_phi,jet_E,jet_MV2c10,sample,mLL,pTll,dphi_ll,dphi_ll_met
True,False,2,1,64941.773,1.9886311,51833.78125,25470.716796875,0.6401167511940002,0.12753091752529144,62820.8125,25678.34375,-1.936091423034668,-1.047702670097351,-1,1,11,13,0.0,0.0,-550.3130493164062,-373.6353759765625,1,1,21221.025390625,-0.1038397029042244,1.424993634223938,21584.41796875,-0.8996560573577881,Higgs,36.46611190696054,70.71602732639278,0.8883887529373169,2.641759462394522
True,True,2,1,57442.16,2.2682288,31333.927734375,26178.814453125,1.8476399183273315,1.1062583923339844,101873.484375,43899.5234375,-1.0048606395721436,-0.1973504275083542,1,-1,13,11,0.0,0.0,-160.33657836914062,-229.3863525390625,1,1,28070.783203125,-1.2250789403915405,-1.238395094871521,52110.34765625,-0.7258473634719849,Higgs,31.278508174789433,52.927033494139316,0.8075102120637894,2.9076097518235153
True,False,2,0,37832.51,2.3408566,28533.357421875,19731.71484375,0.9041175842285156,-0.1523541361093521,41011.71875,19961.44140625,-0.402630090713501,-1.0131334066390991,1,-1,11,13,0.0,0.0,-1177.097412109375,-42.87567138671875,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,29.874198116860335,46.10977908481892,0.6105033159255981,2.9913396540916053
True,False,2,0,34685.473,-2.4431448,32869.47265625,32567.466796875,0.7320709824562073,0.3282144367694855,42077.8984375,34337.4296875,2.0098063945770264,2.266153335571289,1,-1,13,11,0.0,0.0,-215.34185791015625,-266.68243408203125,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,15.714363571321567,64.90017303749724,0.2563469409942627,1.7026554533340708
True,False,2,1,54335.402,-2.9637873,27831.521484375,20052.07421875,0.8620010018348694,2.011730432510376,38827.8984375,76298.21875,0.1746094673871994,-0.7950211763381958,1,-1,11,13,0.0,0.0,-836.6502685546875,-472.0500793457031,1,1,25256.970703125,-1.2440483570098877,0.29502812027931213,47668.85546875,-0.8221611976623535,Higgs,36.159349736789444,42.520391787979705,0.9696306437253952,2.738951794336283
True,False,2,1,62051.594,2.0063152,29262.46484375,23285.478515625,0.4208901524543762,0.647502064704895,31892.85546875,28339.943359375,-1.3378863334655762,-1.7568278312683105,-1,1,11,13,0.0,0.0,-102.83587646484375,-482.7563171386719,1,1,20888.986328125,-0.6959432363510132,0.07382991909980774,26349.0078125,-0.7156785130500793,Higgs,12.369100921734198,51.414327877133125,0.4189414978027344,2.753688920635481
True,False,2,0,47695.73,2.5281181,38222.23828125,20539.38671875,-1.1011252403259277,-0.8622828125953674,63832.0,28660.431640625,-1.0221056938171387,0.11659401655197144,1,-1,11,13,0.0,0.0,-609.8338623046875,-898.30615234375,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,30.944970921092548,50.40173634300925,1.13869971036911,3.112033796422521
True,True,2,0,59523.35,1.0758523,41616.80078125,28994.236328125,-0.4213975965976715,0.5715867280960083,45366.875,33861.140625,-2.4386963844299316,-2.197221279144287,-1,1,11,13,0.0,0.0,-412.3150634765625,-729.0480346679688,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,36.88938269301736,70.11347879600623,0.24147510528564453,2.867688831508584
True,False,2,1,51211.906,1.757042,49758.90625,23674.3984375,2.115832805633545,1.9459526538848877,209410.984375,84554.9375,-1.520579218864441,-0.5070909261703491,-1,1,11,13,0.0,0.0,-270.61834716796875,-363.0173645019531,1,1,34263.76171875,1.8711587190628052,2.62284779548645,114065.0234375,-0.7920212745666504,Higgs,33.82296914035658,65.4410834323262,1.0134882926940918,2.9655560156366194
True,True,2,0,60142.227,-2.7688324,36863.23046875,29258.6484375,-1.6007862091064453,-1.2239527702331543,95082.6015625,54050.50390625,-0.03741686791181564,0.9583427906036377,-1,1,13,11,0.0,0.0,-252.38528442382812,-1028.93701171875,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,33.74797392080969,58.207891037007606,0.9957596585154533,3.116321877066426
True,False,2,1,77236.78,2.6007123,37898.61328125,18777.177734375,-0.4856332242488861,-0.022447846829891205,42456.1328125,18782.20703125,-0.48121631145477295,-1.2633954286575317,-1,1,11,13,0.0,0.0,-2018.17822265625,-505.04248046875,1,1,32154.3046875,-0.2750396132469177,1.7986273765563965,34192.8828125,-0.9589114189147949,Higgs,23.854784220892203,52.90101213842576,0.7821791172027588,2.9483927791569178
True,False,2,0,50676.32,-2.6641421,36274.1328125,15757.1474609375,-1.1877981424331665,0.6091922521591187,65016.7265625,18772.853515625,0.154315784573555,1.086488127708435,1,-1,11,13,0.0,0.0,-63.04046630859375,-501.1613464355469,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,53.486347459763216,47.38696293676723,0.9321723431348801,3.088722538755233
True,False,2,1,47440.8,-2.345033,49286.91796875,26321.4453125,-0.3101826310157776,-0.15030577778816223,51677.015625,26619.5390625,0.9194760918617249,0.3412354290485382,-1,1,11,13,0.0,0.0,-928.92724609375,-611.4329833984375,1,1,29131.849609375,-2.273653030395508,-2.778040885925293,143027.0,-0.8376058340072632,Higgs,21.331836629836275,72.76543058340083,0.5782406628131866,3.0654937774382605
True,True,2,0,46950.996,-2.3254943,44313.35546875,26014.96484375,-1.2802971601486206,-1.8490376472473145,85871.890625,84692.8984375,1.0423076152801514,-0.399239182472229,-1,1,13,11,0.0,0.0,-121.8919677734375,-94.17939758300781,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,48.903012267595074,54.19984552915731,1.4415467977523804,2.8717253735048764
False,True,2,0,77866.26,-1.0966127,39260.30078125,23547.3203125,0.4765360355377197,0.07253400981426239,43803.171875,23609.291015625,1.4812899827957153,2.5042076110839844,-1,1,13,11,0.0,0.0,-725.279296875,-317.552001953125,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,32.23084540408421,55.30754025775744,1.022917628288269,2.9498557477123883
True,False,2,0,55208.91,-0.27024493,35974.5625,26393.009765625,-1.9772694110870361,-1.7305305004119873,132412.28125,76814.78125,3.034715414047241,2.1053965091705322,-1,1,11,13,0.0,0.0,-221.47750854492188,-74.61607360839844,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,28.648845097226726,55.920084453646346,0.929318904876709,2.917158784695597
True,False,2,1,82842.38,-1.0542902,27584.87109375,24991.39453125,1.2019213438034058,0.7050948739051819,50026.79296875,31465.59765625,-2.0678482055664062,2.9347774982452393,-1,1,11,13,0.0,0.0,-357.33819580078125,-368.6424560546875,1,1,30432.228515625,0.9610545039176941,0.8092604875564575,45776.07421875,-0.9415759444236755,Higgs,34.02776041718707,42.190871825167264,1.2805596033679407,1.6171061226159598
